ONS_ID,Phy_Per1000_50mB,Phy_count,Phy_ave_drive_time5,Phy_walk_dist_n5,Phy_percCov
0,0.9,789,3.0,2.1,61.4
3,0.7,5,1.8,1.1,86.4
5,NA,0,NA,NA,NA
6,1.3,6,1.7,1.0,88.8
7,0.0,0,2.8,1.7,7.4
11,0.3,1,1.9,1.2,97.6
12,0.6,0,2.1,1.2,73.8
13,0.2,6,2.0,1.3,53.1
16,2.2,14,1.3,0.7,91.3
17,NA,10,1.8,0.7,100.0
18,0.7,6,1.7,1.0,75.4
23,1.4,10,1.9,1.0,94.8
24,1.3,36,1.0,0.5,100.0
28,2.8,31,2.0,1.1,84.4
29,0.0,0,18.1,19.8,0.0
30,0.0,0,11.2,11.4,0.0
31,1.5,12,1.9,1.0,81.1
32,0.0,0,4.1,2.9,0.0
35,0.2,1,9.7,10.1,3.1
38,1.4,3,1.5,0.7,100.0
45,0.0,0,2.3,1.4,79.9
46,1.1,7,2.1,1.1,75.6
47,1.0,10,1.1,0.6,100.0
48,0.0,0,3.6,2.1,23.0
49,0.1,1,2.6,1.6,91.0
50,0.1,1,4.1,2.9,64.3
51,6.1,5,2.7,2.3,5.2
52,1.4,11,1.9,0.9,82.8
54,0.7,4,1.9,1.0,95.9
55,0.5,2,1.7,0.9,98.6
60,0.0,0,1.9,0.8,100.0
64,2.9,26,4.2,3.4,19.7
65,1.3,2,3.2,2.0,25.1
66,0.0,0,12.0,12.5,0.0
67,0.0,0,10.4,11.2,0.0
70,0.0,0,9.8,9.8,0.0
71,NA,0,1.2,0.6,100.0
75,0.3,3,3.7,2.7,23.3
76,0.0,0,2.9,2.0,19.0
77,76.5,12,0.2,0.2,100.0
81,0.9,5,6.2,5.0,33.0
82,0.5,4,1.7,0.8,91.4
83,0.0,0,2.0,1.0,99.3
85,0.0,0,11.9,10.9,0.0
86,0.0,0,3.7,2.4,33.2
87,0.0,0,3.8,2.3,2.2
88,0.2,1,2.0,1.2,98.8
90,1.1,5,2.1,1.2,75.1
93,1.3,8,2.3,1.3,65.1
97,7.3,31,1.7,1.1,83.1
99,1.5,7,2.1,1.1,72.3
100,0.2,0,3.1,2.0,78.9
106,0.0,0,2.4,1.3,76.5
108,1.0,1,2.4,1.4,77.4
901,0.4,4,2.0,1.1,99.0
902,0.9,6,2.2,1.0,80.2
903,1.8,22,1.7,0.9,86.4
904,0.4,3,3.2,2.2,87.8
905,0.0,0,2.7,1.6,20.5
906,1.3,8,2.1,0.8,93.1
907,1.2,19,1.7,1.0,85.0
908,2.9,15,1.2,0.4,100.0
909,0.3,3,3.2,2.1,37.0
910,0.1,1,2.0,1.0,95.6
911,2.0,13,6.4,5.6,27.0
912,1.5,14,2.1,1.0,94.6
913,0.8,3,2.4,1.6,26.6
914,0.3,4,2.2,1.3,70.2
915,1.5,20,2.7,1.7,23.0
916,0.0,0,8.7,8.1,0.0
917,7.9,7,2.6,1.6,62.1
918,0.0,0,10.7,11.6,0.0
919,0.3,3,2.5,1.3,67.2
920,0.2,4,3.1,1.6,46.8
921,0.0,0,5.5,4.8,0.0
922,0.0,0,17.5,18.1,0.0
923,0.4,5,1.8,0.8,100.0
924,3.3,37,2.1,1.1,58.4
925,0.1,1,8.7,8.3,13.1
926,0.0,0,4.0,3.2,5.4
927,3.5,15,2.1,1.2,59.2
928,0.0,0,4.0,2.5,13.3
929,1.5,17,1.9,0.8,93.1
930,0.0,0,14.9,14.5,0.0
931,2.0,18,1.5,0.9,95.5
932,0.9,7,2.1,1.3,49.7
933,0.0,0,2.7,1.4,77.7
934,2.9,4,1.3,0.5,100.0
935,2.6,18,1.9,1.1,51.8
936,0.0,0,8.2,7.1,0.0
937,0.9,13,2.2,1.3,77.3
938,1.6,29,2.8,1.6,36.3
939,2.7,9,1.9,1.0,65.3
940,1.4,12,1.7,0.7,97.6
941,0.0,0,2.3,1.4,36.2
942,0.8,11,3.3,2.2,14.4
943,1.6,19,2.2,1.1,70.1
944,2.0,15,3.8,3.0,20.4
945,0.0,0,2.6,1.5,58.2
946,0.9,12,2.4,1.5,83.5
947,0.5,2,2.5,1.1,100.0
948,0.5,0,3.7,2.1,46.4
949,4.4,50,1.3,0.6,95.8
950,0.2,0,2.4,1.4,62.7
951,0.4,11,3.0,1.8,34.8
952,0.0,0,4.5,3.5,0.0
953,0.6,4,1.6,0.8,100.0
954,2.1,8,0.9,0.5,100.0
955,0.0,0,14.7,13.3,0.0
956,27.5,7,2.1,0.6,100.0
957,2.1,20,1.1,0.6,100.0
958,0.8,9,1.7,1.0,88.8
